ACRONIMO,NOMBRE COMPLETO
FFON,MEJORAS AL FLUJO DE FONDOS
MECA,SISTEMA DE MERCADO DE CAPITALES
SIMS,SISTEMA INTEGRAL DE MERCADO SECUNDARIO
SIPE,SISTEMA DE INVERSIONES Y PRESTAMOS EN EL EXTRANJERO
SOI,SISTEMA DE OPERACIONES INTERNACIONALES
SOME,SISTEMA DE OPERACIONES EN MONEDA EXTRANJERA
TAS,SISTEMA DE MERCADO DE DINERO Y CAMBIOS
SIAG,SISTEMA INTEGRAL DE ADMINISTRACIÓN DE GARANTÍAS
SIAF,SISTEMA INTEGRAL DE AGENTE FINANCIERO
SORI,SISTEMA DE OPERACIONES RELEVANTES E INUSUALES
SIRAC,SISTEMA DE INFORMACIÓN DE RECUPERACIÓN Y ADMINISTRACIÓN DE CARTERA
MDC,MESA DE CONTROL DE CRÉDITO
BNC,BURÓ DE CRÉDITO
GVAL,SISTEMA GUARDA VALORES
IMRC,INSTRUMENTO DE MEDICIÓN DEL RIESGO CREDITICIO
CCBE,SISTEMA DE CALIFICACIÓN DE CARTERA BATCH ELECTRÓNICA
SCC,SISTEMA DE CALIFICACIÓN DE CARTERA
SICAR,SISTEMA DE INFORMACIÓN DE CARTERA
SIRYS,SISTEMA DE RECUPERACIÓN Y SEGUIMIENTO
SISEC,SISTEMA DE SEGUIMIENTO DE CRÉDITO
SCALER,SISTEMA DE CALIFICACIÓN Y ESTIMACIÓN DE RESERVAS